,backend,length,time
0,gen,8,56.49550002091564
1,dsp,8,53.82242811890319
2,ret,8,0.033267726888880134
3,gen,16,56.74312750110403
4,dsp,16,57.18509909603745
5,ret,16,0.02879533590748906
6,gen,32,57.527045594062656
7,dsp,32,58.69398159510456
8,ret,32,0.037680104142054915
9,gen,64,59.4118460949976
10,dsp,64,61.85741814621724
11,ret,64,0.03912086086347699
12,gen,128,62.123221304034814
13,dsp,128,67.81305217300542
14,ret,128,0.06308354903012514
15,gen,256,71.11091078910977
16,dsp,256,86.83225908293389
17,ret,256,0.0948409209959209
18,gen,512,87.83907162793912
19,dsp,512,117.76182458293624
20,ret,512,0.15410992712713778
21,gen,1024,119.91316234995611
22,dsp,1024,187.1836767559871
23,ret,1024,0.27270062593743205
