,type,number,length,backend
0,lut,64,8,gen
1,reg,192,8,gen
2,dsp,0,8,gen
3,carry,8,8,gen
4,lut,0,8,dsp
5,reg,0,8,dsp
6,dsp,8,8,dsp
7,carry,0,8,dsp
8,lut,0,8,ret
9,reg,0,8,ret
10,dsp,2,8,ret
11,carry,0,8,ret
12,lut,128,16,gen
13,reg,384,16,gen
14,dsp,0,16,gen
15,carry,16,16,gen
16,lut,0,16,dsp
17,reg,0,16,dsp
18,dsp,16,16,dsp
19,carry,0,16,dsp
20,lut,0,16,ret
21,reg,0,16,ret
22,dsp,4,16,ret
23,carry,0,16,ret
24,lut,256,32,gen
25,reg,768,32,gen
26,dsp,0,32,gen
27,carry,32,32,gen
28,lut,0,32,dsp
29,reg,0,32,dsp
30,dsp,32,32,dsp
31,carry,0,32,dsp
32,lut,0,32,ret
33,reg,0,32,ret
34,dsp,8,32,ret
35,carry,0,32,ret
36,lut,512,64,gen
37,reg,1536,64,gen
38,dsp,0,64,gen
39,carry,64,64,gen
40,lut,0,64,dsp
41,reg,0,64,dsp
42,dsp,64,64,dsp
43,carry,0,64,dsp
44,lut,0,64,ret
45,reg,0,64,ret
46,dsp,16,64,ret
47,carry,0,64,ret
48,lut,1024,128,gen
49,reg,3072,128,gen
50,dsp,0,128,gen
51,carry,128,128,gen
52,lut,0,128,dsp
53,reg,0,128,dsp
54,dsp,128,128,dsp
55,carry,0,128,dsp
56,lut,0,128,ret
57,reg,0,128,ret
58,dsp,32,128,ret
59,carry,0,128,ret
60,lut,2048,256,gen
61,reg,6144,256,gen
62,dsp,0,256,gen
63,carry,256,256,gen
64,lut,0,256,dsp
65,reg,0,256,dsp
66,dsp,256,256,dsp
67,carry,0,256,dsp
68,lut,0,256,ret
69,reg,0,256,ret
70,dsp,64,256,ret
71,carry,0,256,ret
72,lut,4096,512,gen
73,reg,12288,512,gen
74,dsp,0,512,gen
75,carry,512,512,gen
76,lut,1216,512,dsp
77,reg,3648,512,dsp
78,dsp,360,512,dsp
79,carry,152,512,dsp
80,lut,0,512,ret
81,reg,0,512,ret
82,dsp,128,512,ret
83,carry,0,512,ret
84,lut,8192,1024,gen
85,reg,24576,1024,gen
86,dsp,0,1024,gen
87,carry,1024,1024,gen
88,lut,5312,1024,dsp
89,reg,15936,1024,dsp
90,dsp,360,1024,dsp
91,carry,664,1024,dsp
92,lut,0,1024,ret
93,reg,0,1024,ret
94,dsp,256,1024,ret
95,carry,0,1024,ret
